time_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,roll_deg,pitch_deg,yaw_deg
0.000,0.038628,-1.000911,-0.001956,0.25,-0.32,0.51,-90.11,-2.21,0.00
0.010,0.028360,-0.986731,0.009290,0.08,-0.20,0.08,-90.09,-2.19,0.00
0.020,0.022981,-0.996999,0.006846,0.02,0.23,-0.35,-90.07,-2.15,-0.00
0.030,0.021514,-1.126575,0.003912,-0.05,0.23,-0.15,-90.06,-2.11,-0.00
0.040,0.013691,-0.959349,0.001956,-0.28,-0.18,0.30,-90.05,-2.06,-0.00
0.050,-0.007823,-1.021936,0.000978,-0.28,-0.11,-0.38,-90.05,-1.96,-0.00
0.060,0.002934,-0.991621,-0.007823,-0.21,0.28,-0.24,-90.07,-1.89,-0.01
0.070,-0.016625,-1.007756,-0.018581,0.04,0.01,0.12,-90.11,-1.77,-0.01
0.080,-0.033250,-0.953481,-0.011735,0.05,-0.16,-0.41,-90.13,-1.62,-0.01
0.090,-0.017603,-1.006290,-0.014180,0.05,0.05,0.10,-90.16,-1.52,-0.01
0.100,-0.046941,-0.996510,-0.009779,0.19,0.06,0.24,-90.17,-1.35,-0.01
0.110,-0.063565,-0.990154,-0.007823,0.18,-0.04,-0.17,-90.18,-1.15,-0.01
0.120,-0.058187,-1.002378,0.000000,0.16,-0.05,-0.16,-90.17,-0.97,-0.01
0.130,-0.059165,-0.993087,0.001467,0.14,0.07,0.07,-90.16,-0.79,-0.01
0.140,-0.072856,-1.002867,0.004890,0.10,0.17,0.23,-90.14,-0.59,-0.01
0.150,-0.096815,-0.988198,0.007334,0.05,-0.35,-0.43,-90.12,-0.35,-0.01
0.160,-0.076767,-1.026826,-0.000489,-0.15,0.26,-0.50,-90.12,-0.16,-0.02
0.170,-0.081168,-0.979396,-0.008312,-0.12,0.24,0.24,-90.13,0.04,-0.01
0.180,-0.106105,-1.004823,-0.003912,-0.08,-0.22,0.38,-90.14,0.27,-0.01
0.190,-0.111973,-1.008245,-0.003423,-0.10,-0.22,-0.27,-90.14,0.51,-0.01
0.200,-0.113440,-0.956904,-0.011246,-0.14,0.22,-1.13,-90.16,0.77,-0.02
0.210,-0.083613,-0.995043,-0.022981,-0.01,0.08,0.07,-90.21,0.93,-0.02
0.220,-0.108550,-1.004823,-0.007334,0.24,-0.26,1.01,-90.22,1.14,-0.01
0.230,-0.138866,-1.001400,0.000489,0.16,-0.04,0.15,-90.20,1.41,-0.01
0.240,-0.133976,-0.994065,0.001467,0.11,0.26,-0.75,-90.19,1.66,-0.02
0.250,-0.113929,-0.999444,-0.001956,0.02,0.05,-0.12,-90.19,1.85,-0.02
0.260,-0.118818,-0.994065,-0.002934,0.05,-0.14,0.46,-90.19,2.05,-0.02
0.270,-0.132998,-0.996021,0.007823,-0.02,0.06,0.15,-90.16,2.27,-0.01
0.280,-0.136910,-0.998955,0.003423,-0.12,0.08,-0.34,-90.15,2.49,-0.02
0.290,-0.121752,-0.999444,-0.003423,-0.16,-0.04,-0.29,-90.15,2.67,-0.02
0.300,-0.119307,-0.992599,-0.007823,-0.12,-0.05,0.25,-90.17,2.84,-0.02
0.310,-0.131043,-0.996999,-0.006846,-0.09,0.05,0.11,-90.18,3.03,-0.02
0.320,-0.130065,-0.998466,-0.009779,-0.07,0.01,-0.24,-90.19,3.20,-0.02
0.330,-0.115396,-0.997488,-0.014180,-0.01,-0.01,-0.13,-90.22,3.34,-0.02
0.340,-0.116374,-0.996021,-0.009779,0.05,-0.03,0.14,-90.23,3.47,-0.02
0.350,-0.125175,-1.006778,-0.008312,0.08,0.03,-0.15,-90.24,3.62,-0.02
0.360,-0.115396,-0.998466,-0.003912,0.06,0.08,-0.43,-90.24,3.73,-0.03
0.370,-0.090947,-0.937834,-0.005868,0.10,0.03,0.13,-90.24,3.81,-0.02
0.380,-0.097793,-1.048829,0.000000,0.12,-0.10,0.92,-90.23,3.87,-0.01
0.390,-0.121263,-0.974507,0.009290,-0.02,-0.08,-0.29,-90.20,4.00,-0.02
