time_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
0.950,0.029768,-0.029768,1.043344,1.33,-3.01,0.49
0.960,0.030744,-0.029280,1.043344,1.33,-2.87,0.56
0.970,0.029768,-0.030744,1.041880,1.33,-2.94,0.49
0.980,0.030256,-0.031232,1.042368,1.19,-3.01,0.49
0.990,0.029768,-0.032208,1.042856,1.40,-3.15,0.35
1.000,0.031720,-0.031232,1.042856,1.26,-3.01,0.42
1.010,0.030744,-0.033184,1.043832,1.26,-3.01,0.35
1.020,0.032696,-0.029280,1.043832,1.33,-3.01,0.35
1.030,0.030256,-0.030744,1.043344,1.33,-2.94,0.49
1.040,0.030744,-0.030744,1.043832,1.40,-3.01,0.42
1.050,0.032208,-0.031720,1.042856,1.40,-3.01,0.35
1.060,0.030256,-0.031720,1.043832,1.19,-2.94,0.42
1.070,0.029768,-0.033184,1.043344,1.47,-2.94,0.56
1.080,0.027816,-0.032696,1.044320,1.26,-2.94,0.42
1.090,0.030256,-0.030256,1.043344,1.40,-3.01,0.49
1.100,0.030744,-0.028792,1.043344,1.33,-2.87,0.63
1.110,0.031232,-0.031232,1.042368,1.40,-3.01,0.56
1.120,0.030744,-0.028792,1.043832,1.33,-2.94,0.56
1.130,0.031720,-0.030744,1.044320,1.33,-2.94,0.56
1.140,0.031232,-0.031232,1.041392,1.33,-2.94,0.56
1.150,0.029768,-0.030256,1.041392,1.33,-3.01,0.49
1.160,0.029280,-0.028792,1.043832,1.33,-2.94,0.49
1.170,0.031720,-0.029768,1.044808,1.26,-2.94,0.49
1.180,0.031720,-0.032208,1.042368,1.33,-3.01,0.42
1.190,0.031232,-0.030744,1.041880,1.33,-3.01,0.49
1.200,0.030744,-0.030256,1.043344,1.26,-2.94,0.42
1.210,0.032208,-0.032696,1.045784,1.26,-3.01,0.35
1.220,0.031720,-0.031232,1.041392,1.26,-2.87,0.49
1.230,0.031720,-0.031232,1.044808,1.33,-2.94,0.42
1.240,0.029280,-0.030256,1.042368,1.33,-3.08,0.49
1.250,0.031232,-0.030256,1.043832,1.26,-2.94,0.49
1.260,0.031720,-0.032208,1.042368,1.26,-3.01,0.42
1.270,0.030744,-0.033672,1.044320,1.33,-3.01,0.42
1.280,0.030744,-0.030256,1.043832,1.33,-3.01,0.42
1.290,0.030256,-0.031720,1.042368,1.33,-2.87,0.42
1.300,0.029280,-0.030744,1.038952,1.33,-3.01,0.49
1.310,0.031720,-0.028304,1.042856,1.33,-3.01,0.49
1.320,0.031232,-0.028792,1.044320,1.26,-2.94,0.56
1.330,0.030744,-0.031232,1.044808,1.33,-2.94,0.56
1.340,0.030256,-0.031720,1.042856,1.33,-2.94,0.42
1.350,0.029768,-0.031232,1.042368,1.33,-3.01,0.42
1.360,0.033672,-0.032208,1.042856,1.33,-2.94,0.42
1.370,0.033184,-0.031232,1.042856,1.33,-2.87,0.49
1.380,0.030744,-0.030256,1.042368,1.33,-3.01,0.56
1.390,0.029768,-0.030744,1.040904,1.33,-3.01,0.49
1.400,0.031232,-0.031720,1.043832,1.33,-2.94,0.42
1.410,0.030256,-0.030256,1.041880,1.12,-2.87,0.49
1.420,0.031720,-0.029768,1.041392,1.40,-3.01,0.49
1.430,0.030744,-0.030744,1.045784,1.26,-3.01,0.56
1.440,0.029280,-0.031232,1.042368,1.40,-2.94,0.35
1.450,0.030744,-0.030744,1.043832,1.40,-3.01,0.42
1.460,0.030256,-0.030744,1.043832,1.26,-3.01,0.42
1.470,0.028792,-0.029768,1.041880,1.40,-2.94,0.42
1.480,0.031720,-0.030744,1.041880,1.40,-3.01,0.49
1.490,0.028792,-0.032208,1.043344,1.26,-2.94,0.42
1.500,0.032208,-0.031720,1.041392,1.33,-2.87,0.42
1.510,0.031720,-0.029280,1.042368,1.33,-2.87,0.56
1.520,0.030256,-0.032208,1.044808,1.40,-2.94,0.49
1.530,0.029768,-0.031720,1.042368,1.33,-2.94,0.49
1.540,0.031232,-0.028792,1.041880,1.26,-3.01,0.42
1.550,0.030744,-0.030256,1.043832,1.40,-2.87,0.42
1.560,0.029768,-0.029280,1.041880,1.40,-3.15,0.42
1.570,0.032696,-0.029280,1.043344,1.26,-2.94,0.49
1.580,0.028792,-0.031232,1.040416,1.12,-2.94,0.35
1.590,0.029768,-0.030744,1.042856,1.33,-2.94,0.63
1.600,0.031720,-0.030256,1.044320,1.47,-3.08,0.56
1.610,0.030256,-0.030256,1.044320,1.26,-2.94,0.42
1.620,0.032208,-0.031232,1.040904,1.33,-2.94,0.42
1.630,0.030256,-0.031720,1.042368,1.33,-2.94,0.49
1.640,0.028792,-0.028792,1.043832,1.33,-3.01,0.49
1.650,0.028792,-0.030256,1.042856,1.26,-2.94,0.35
1.660,0.030744,-0.031720,1.041392,1.33,-3.01,0.49
1.670,0.030256,-0.031232,1.044320,1.33,-2.94,0.49
1.680,0.031232,-0.033184,1.044808,1.26,-2.94,0.56
1.690,0.031720,-0.031232,1.043832,1.40,-2.94,0.42
1.700,0.030256,-0.031232,1.042856,1.26,-3.01,0.49
1.710,0.030744,-0.031232,1.041880,1.33,-3.08,0.42
1.720,0.032696,-0.029280,1.042368,1.40,-2.94,0.49
1.730,0.029768,-0.030256,1.042856,1.33,-3.08,0.56
1.740,0.032208,-0.030744,1.042856,1.33,-2.94,0.56
1.750,0.028792,-0.031720,1.042856,1.47,-2.87,0.49
1.760,0.030744,-0.031232,1.044320,1.33,-3.01,0.42
