time_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
0.000,0.029768,0.092720,-0.963312,-15.82,6.30,802.34
0.020,0.025376,0.094184,-0.963312,-15.68,7.07,801.50
0.040,0.027328,0.095648,-0.974048,-16.03,7.00,800.59
0.060,0.024888,0.096624,-0.972096,-15.82,7.63,799.68
0.080,0.029768,0.096624,-0.976976,-15.96,6.37,798.84
0.100,0.027816,0.095648,-0.962824,-15.54,6.58,798.07
0.120,0.027816,0.094672,-0.975024,-15.61,6.16,796.95
0.140,0.028792,0.093696,-0.981368,-16.24,7.21,796.18
0.160,0.029280,0.096136,-0.967704,-16.45,7.77,795.34
0.180,0.030744,0.095160,-0.985760,-15.33,6.58,794.43
0.200,0.032208,0.094184,-0.992592,-16.94,6.23,793.59
0.220,0.032696,0.090280,-0.976000,-16.52,7.21,792.82
0.240,0.030744,0.091744,-0.991616,-14.63,7.07,791.84
0.260,0.033672,0.090280,-0.964288,-16.10,7.14,791.07
0.280,0.028792,0.089304,-0.978928,-17.29,7.07,790.16
0.300,0.028304,0.090768,-0.966240,-15.26,6.79,789.53
0.320,0.029768,0.090280,-0.974536,-15.96,5.18,788.62
0.340,0.028304,0.088816,-0.978928,-14.91,5.74,787.85
0.360,0.024888,0.087840,-0.970144,-15.68,6.93,787.15
0.380,0.025376,0.088816,-0.981856,-16.45,6.37,786.17
0.400,0.023424,0.089304,-0.875960,-15.12,7.14,785.40
0.420,0.025864,0.088816,-0.968192,-15.96,6.16,784.63
0.440,0.027328,0.094184,-0.994056,-15.05,5.95,783.86
0.460,0.022936,0.090768,-0.963800,-15.54,6.86,783.09
0.480,0.023912,0.092720,-0.978440,-14.84,7.21,782.39
0.500,0.027328,0.094672,-0.966240,-14.98,5.39,781.55
0.520,0.025376,0.090280,-0.978928,-16.52,5.74,780.57
0.540,0.029768,0.088816,-0.969656,-15.12,6.44,779.80
0.560,0.031232,0.093208,-0.969168,-14.63,5.39,779.10
0.580,0.028304,0.093208,-0.976976,-15.19,6.72,778.19
0.600,0.031720,0.092232,-0.959408,-16.03,6.86,777.35
0.620,0.030256,0.089304,-0.973560,-16.03,7.00,776.65
0.640,0.032696,0.091744,-0.988200,-16.17,5.81,775.95
0.660,0.034648,0.089304,-0.968192,-15.40,6.09,775.18
0.680,0.033672,0.087840,-0.985272,-14.84,7.28,774.27
0.700,0.033672,0.086376,-0.991128,-15.40,6.72,773.64
0.720,0.032208,0.084424,-0.964288,-14.98,6.65,772.80
0.740,0.032208,0.079544,-0.981368,-15.40,5.39,771.96
0.760,0.031720,0.084912,-0.970632,-15.40,6.09,771.33
0.780,0.030256,0.082472,-0.985272,-15.05,6.58,770.49
0.800,0.026840,0.075640,-0.955992,-15.40,6.65,769.86
0.820,0.022448,0.081496,-0.975512,-14.63,6.58,768.95
0.840,0.024400,0.079544,-0.983808,-15.33,5.88,768.25
0.860,0.021472,0.082472,-0.977952,-15.40,7.28,767.41
0.880,0.020496,0.081984,-0.987224,-14.28,6.44,766.22
0.900,-0.793000,-1.056520,-1.015528,-6.16,1.33,713.44
0.920,0.036112,0.067344,-1.060912,-8.05,2.03,591.15
0.940,0.023912,0.056120,-1.003816,-8.96,3.15,589.96
0.960,0.027328,0.050752,-0.967704,-10.57,5.60,589.19
0.980,0.025864,0.050264,-0.973560,-11.55,4.97,588.49
1.000,0.026840,0.051728,-0.967704,-9.94,3.15,587.86
1.020,0.028304,0.050264,-0.978928,-11.41,4.41,587.23
1.040,0.025864,0.049288,-0.988688,-10.99,4.62,586.60
1.060,0.032208,0.049776,-0.965264,-10.85,4.13,585.90
1.080,0.027816,0.045384,-0.968680,-11.83,2.94,585.41
1.100,0.030744,0.046848,-0.983320,-12.53,3.99,584.78
1.120,0.029768,0.049288,-0.975512,-11.48,4.20,584.22
1.140,0.029768,0.045872,-0.978928,-11.20,3.57,583.66
1.160,0.027328,0.046360,-0.987712,-10.64,4.27,583.17
1.180,0.026840,0.042944,-0.973072,-13.02,3.57,582.61
1.200,0.028792,0.043920,-0.977464,-10.43,3.99,582.19
1.220,0.028304,0.044408,-0.975024,-10.22,3.92,581.56
1.240,0.030744,0.041480,-0.989664,-11.90,3.99,581.14
1.260,0.030744,0.039040,-0.977464,-11.48,4.34,580.51
1.280,0.025864,0.040016,-0.978928,-11.55,3.43,580.09
1.300,0.029768,0.040016,-0.985272,-10.71,4.06,579.46
1.320,0.026352,0.039040,-0.982344,-11.48,4.97,578.90
1.340,0.024888,0.040016,-0.986736,-11.69,5.18,578.27
1.360,0.025376,0.037088,-0.975024,-13.79,3.43,577.71
1.380,0.024400,0.042456,-0.986248,-10.85,3.36,577.15
1.400,0.024400,0.043920,-0.987224,-11.90,4.83,576.59
1.420,0.022448,0.040504,-0.985760,-11.13,4.20,575.89
1.440,0.023424,0.041968,-0.979904,-10.64,3.92,575.33
1.460,0.022448,0.044408,-0.973560,-11.69,4.41,574.77
