time_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
0.000,0.027816,0.074664,-0.974536,-13.23,6.44,719.53
0.020,0.029768,0.070760,-0.976000,-13.51,6.09,718.69
0.040,0.029280,0.074176,-0.974536,-14.00,4.97,717.99
0.060,0.029280,0.072712,-0.982344,-14.77,5.60,717.15
0.080,0.029768,0.072224,-0.976000,-13.51,6.37,716.10
0.100,0.025376,0.070760,-0.976000,-14.49,6.37,715.54
0.120,0.027816,0.071248,-0.979416,-14.42,6.23,714.77
0.140,0.030744,0.069296,-0.978928,-14.49,4.69,713.93
0.160,0.026840,0.069784,-0.978440,-14.63,5.67,713.02
0.180,0.028304,0.069784,-0.973560,-15.12,5.11,712.39
0.200,0.028792,0.069784,-0.978440,-14.07,5.60,711.41
0.220,0.028792,0.069784,-0.975024,-14.28,6.02,710.64
0.240,0.026352,0.072224,-0.974048,-14.07,6.09,709.80
0.260,0.026352,0.068320,-0.968192,-15.47,4.90,708.96
0.280,0.023424,0.072712,-0.975024,-14.00,5.74,708.26
0.300,0.023424,0.073200,-0.977464,-13.44,5.81,707.35
0.320,0.023912,0.073200,-0.981368,-13.93,5.74,706.65
0.340,0.022936,0.074176,-0.980392,-13.72,5.53,705.67
0.360,0.023912,0.072224,-0.989176,-13.86,5.60,704.83
0.380,0.025376,0.074176,-0.979416,-14.14,6.58,703.85
0.400,0.027328,0.072712,-0.977952,-13.58,4.97,703.08
0.420,0.025864,0.073688,-0.979416,-13.72,5.46,702.10
0.440,0.027816,0.075640,-0.974536,-14.63,6.23,701.33
0.460,0.031232,0.073688,-0.981368,-13.79,5.95,700.56
0.480,0.026840,0.072224,-0.970632,-13.09,5.88,699.65
0.500,0.029280,0.071248,-0.975024,-12.95,5.95,698.88
0.520,0.027328,0.072224,-0.984296,-13.51,5.95,698.25
0.540,0.028304,0.071736,-0.974536,-13.51,5.67,697.34
0.560,0.031720,0.069784,-0.982832,-14.00,5.04,696.57
0.580,0.029768,0.070272,-0.976000,-13.65,6.23,695.94
0.600,0.028792,0.067832,-0.977464,-14.42,5.74,695.03
0.620,0.029768,0.068320,-0.973560,-13.93,5.67,694.26
0.640,0.029768,0.066856,-0.978440,-14.42,5.88,693.35
0.660,0.028304,0.066368,-0.977464,-14.28,6.02,692.72
0.680,0.026352,0.062464,-0.979416,-14.63,5.67,691.88
0.700,0.024400,0.066368,-0.976000,-14.00,6.16,691.04
0.720,0.025376,0.062952,-0.972096,-12.74,4.83,690.41
0.740,0.022448,0.065880,-0.979904,-14.21,6.16,689.50
0.760,0.024888,0.064904,-0.977464,-13.58,5.88,688.73
0.780,0.021472,0.067344,-0.977952,-14.49,5.95,687.89
0.800,0.022448,0.067832,-0.980880,-13.51,5.25,687.12
0.820,0.023912,0.067344,-0.979416,-13.58,5.67,686.28
0.840,0.024888,0.066856,-0.981368,-13.44,5.32,685.51
0.860,0.025376,0.069784,-0.976000,-13.23,5.60,684.74
0.880,0.027328,0.070272,-0.981856,-14.14,4.34,683.90
0.900,0.027816,0.068808,-0.976976,-13.30,5.60,683.06
0.920,0.028304,0.065880,-0.971120,-13.79,6.09,682.43
0.940,0.026840,0.069296,-0.974536,-14.49,4.90,681.52
0.960,0.027328,0.068808,-0.978928,-13.58,4.90,680.89
0.980,0.030744,0.068320,-0.982832,-13.65,5.04,680.05
1.000,0.028792,0.066368,-0.976000,-13.30,5.25,679.28
1.020,0.027816,0.067344,-0.987712,-12.95,5.74,678.79
1.040,0.029280,0.066368,-0.978440,-12.74,5.88,677.81
1.060,0.029280,0.066856,-0.976000,-13.51,5.18,677.18
1.080,0.026352,0.065880,-0.973560,-13.02,6.02,676.48
1.100,0.026352,0.066856,-0.978440,-13.30,5.18,675.64
1.120,0.028792,0.064416,-0.974536,-13.16,6.37,674.94
