time_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
0.000,0.020496,-0.004880,-0.980880,1.33,-3.01,0.35
0.020,0.019520,-0.002440,-0.972584,1.33,-3.01,0.28
0.040,0.020496,-0.004392,-0.977464,1.54,-3.01,0.35
0.060,0.020008,-0.002928,-0.975512,1.33,-2.94,0.35
0.080,0.022448,-0.001952,-0.974048,1.26,-3.08,0.35
0.100,0.018544,-0.005368,-0.977952,1.26,-3.36,1.12
0.120,-0.046360,-0.171776,-0.976976,0.56,-3.36,34.23
0.140,-0.450912,-0.161040,-1.004792,-2.03,-4.41,118.23
0.160,-1.264408,0.108336,-1.027728,-6.51,-0.42,148.47
0.180,-1.507432,0.196664,-1.053104,-3.36,-5.18,125.16
0.200,-1.332728,0.031232,-0.990152,-4.13,1.40,66.85
0.220,0.564128,0.144448,-0.941352,-0.70,1.12,33.60
0.240,0.184952,0.569008,-0.996496,3.29,-4.76,50.68
0.260,-1.069208,0.603168,-1.056032,13.79,1.05,30.59
0.280,0.030256,-0.005856,-0.913048,5.32,11.76,33.11
0.300,0.042944,-0.016104,-0.973560,2.31,-1.33,32.83
0.320,0.048312,-0.016104,-0.977464,-0.14,-2.80,32.55
0.340,0.047824,-0.012200,-0.988200,0.98,-2.31,32.20
0.360,0.046360,-0.009272,-0.987224,-0.28,-3.36,32.20
0.380,0.042456,-0.012200,-0.970144,0.77,-0.77,32.20
0.400,0.046848,-0.013664,-0.988200,1.05,-3.22,32.13
0.420,0.042456,-0.013176,-0.971608,1.33,-1.75,32.27
0.440,0.044896,-0.016104,-0.985760,-0.77,-4.90,32.13
0.460,0.041480,-0.012200,-0.980392,-0.14,-3.29,32.06
0.480,0.043920,-0.016104,-0.993568,0.42,-3.43,32.06
0.500,0.045872,-0.014152,-0.980392,0.00,-4.62,32.06
0.520,0.045384,-0.014152,-0.984296,-0.21,-1.68,31.92
0.540,0.043920,-0.014640,-0.988688,-0.28,-2.80,31.99
0.560,0.042456,-0.014640,-0.967216,0.98,-0.91,31.99
0.580,0.045872,-0.015616,-0.977464,-0.49,-1.89,31.92
0.600,0.046360,-0.011712,-0.970632,0.77,-0.98,31.99
0.620,0.040992,-0.014152,-0.984784,-0.70,-3.92,31.78
0.640,0.041480,-0.012688,-0.961848,2.38,-3.78,31.78
0.660,0.041480,-0.016104,-0.960384,-0.84,-2.03,31.50
0.680,0.037576,-0.010736,-0.958920,1.05,-2.45,31.57
0.700,0.043432,-0.014640,-0.959896,-0.91,-2.94,31.43
0.720,0.041968,-0.013664,-0.965264,2.24,-1.89,31.36
0.740,0.041968,-0.011224,-0.969168,-0.49,-2.52,31.29
0.760,0.039528,-0.012200,-0.970632,0.56,-1.82,31.36
0.780,0.041480,-0.015616,-0.979416,0.28,-3.71,31.36
