time_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
1.860,0.023424,-0.009272,-0.975512,1.33,-2.87,0.42
1.880,0.021960,-0.006832,-0.976488,1.26,-2.87,0.35
1.900,0.021960,-0.009760,-0.976488,1.33,-2.80,0.28
1.920,0.022448,-0.008296,-0.976000,1.19,-2.87,0.35
1.940,0.021960,-0.008784,-0.977464,1.26,-2.87,0.35
1.960,0.021472,-0.010248,-0.976976,1.26,-2.87,0.42
1.980,0.023424,-0.010248,-0.976488,1.33,-2.87,0.42
2.000,0.023424,-0.010248,-0.976000,1.26,-2.87,0.42
2.020,0.024400,-0.010248,-0.976488,1.33,-2.87,0.42
2.040,0.022936,-0.008784,-0.973560,1.33,-2.87,0.35
2.060,0.023424,-0.009272,-0.974048,1.33,-2.80,0.49
2.080,0.024400,-0.009272,-0.975024,1.33,-2.87,0.42
2.100,0.023424,-0.009760,-0.973072,1.26,-2.94,0.49
2.120,0.023424,-0.008296,-0.975512,1.33,-2.87,0.49
2.140,0.024888,-0.009760,-0.975512,1.33,-2.94,0.35
2.160,0.023424,-0.006832,-0.975512,1.33,-2.94,0.42
2.180,0.022936,-0.007808,-0.976488,1.26,-2.87,0.42
2.200,0.022936,-0.009272,-0.977464,1.33,-2.87,0.35
2.220,0.022448,-0.007320,-0.975512,1.33,-2.87,0.35
2.240,0.021960,-0.010248,-0.978440,1.33,-2.94,0.42
2.260,0.021960,-0.008784,-0.975512,1.26,-2.94,0.35
2.280,0.022936,-0.010736,-0.974536,1.33,-2.87,0.42
2.300,0.021960,-0.009272,-0.975512,1.33,-2.87,0.35
2.320,0.020984,-0.011224,-0.975024,1.26,-2.87,0.28
2.340,0.021960,-0.010736,-0.976488,1.26,-3.08,0.49
2.360,0.021960,-0.009760,-0.976488,1.26,-2.87,0.42
2.380,0.023424,-0.010736,-0.974048,1.26,-3.01,0.49
2.400,0.021960,-0.008784,-0.976000,1.26,-2.87,0.42
2.420,0.023424,-0.010248,-0.974048,1.26,-2.87,0.28
2.440,0.021960,-0.011712,-0.976000,1.26,-2.87,0.35
2.460,0.023424,-0.008784,-0.975512,1.26,-2.87,0.56
2.480,0.022448,-0.008784,-0.976488,1.33,-2.87,0.35
2.500,0.025376,-0.010248,-0.976488,1.26,-2.94,0.35
2.520,0.022936,-0.008296,-0.975024,1.33,-2.94,0.42
2.540,0.021960,-0.007808,-0.975024,1.26,-2.87,0.42
2.560,0.021960,-0.010736,-0.976000,1.33,-2.87,0.35
2.580,0.022936,-0.008784,-0.976000,1.33,-2.87,0.35
2.600,0.021960,-0.007320,-0.974048,1.26,-2.87,0.42
2.620,0.022448,-0.008296,-0.975024,1.26,-2.87,0.56
2.640,0.024400,-0.010736,-0.976000,1.33,-2.94,0.42
2.660,0.024888,-0.010248,-0.975024,1.33,-2.87,0.42
2.680,0.021960,-0.009760,-0.976488,1.33,-2.94,0.42
2.700,0.021472,-0.008784,-0.977952,1.26,-2.80,0.42
2.720,0.021472,-0.009272,-0.975512,1.26,-2.94,0.42
2.740,0.022936,-0.009272,-0.975512,1.19,-2.87,0.35
2.760,0.022936,-0.008784,-0.977464,1.19,-2.94,0.35
2.780,0.023424,-0.011712,-0.976488,1.19,-2.94,0.35
2.800,0.023424,-0.008296,-0.976976,1.26,-2.94,0.35
2.820,0.024400,-0.010248,-0.975024,1.40,-2.94,0.42
2.840,0.022936,-0.005368,-0.978928,1.26,-2.80,0.42
2.860,0.022448,-0.007320,-0.975024,1.26,-2.80,0.42
2.880,0.022448,-0.010248,-0.976976,1.26,-2.94,0.42
2.900,0.020496,-0.009272,-0.976976,1.26,-2.94,0.49
2.920,0.022448,-0.007320,-0.977464,1.26,-2.87,0.49
2.940,0.024888,-0.009760,-0.974536,1.33,-2.80,0.49
2.960,0.021960,-0.010248,-0.976000,1.33,-2.87,0.42
2.980,0.023912,-0.007320,-0.976488,1.33,-2.80,0.49
3.000,0.022448,-0.007808,-0.977464,1.33,-2.94,0.42
3.020,0.023912,-0.007320,-0.976488,1.33,-2.94,0.42
3.040,0.023424,-0.010248,-0.976488,1.26,-2.87,0.35
3.060,0.022448,-0.007320,-0.975512,1.26,-2.94,0.42
3.080,0.024400,-0.010736,-0.975512,1.26,-2.87,0.35
3.100,0.022448,-0.006832,-0.976488,1.26,-2.94,0.42
3.120,0.023424,-0.009760,-0.976976,1.26,-2.94,0.35
3.140,0.022448,-0.009760,-0.975024,1.26,-2.94,0.28
3.160,0.023424,-0.009272,-0.976000,1.40,-2.94,0.42
3.180,0.020984,-0.009760,-0.976488,1.26,-2.94,0.35
3.200,0.022448,-0.010736,-0.977464,1.26,-2.94,0.35
3.220,0.021472,-0.008296,-0.976488,1.40,-2.94,0.35
3.240,0.025376,-0.010736,-0.973560,1.33,-3.01,0.35
3.260,0.023912,-0.008296,-0.977464,1.33,-2.94,0.35
3.280,0.023424,-0.009272,-0.976488,1.26,-2.73,0.56
3.300,0.021472,-0.008784,-0.976488,1.33,-2.80,0.35
3.320,0.023912,-0.008296,-0.975512,1.33,-2.94,0.35
3.340,0.022448,-0.006832,-0.976976,1.33,-2.94,0.35
3.360,0.022936,-0.009760,-0.975024,1.33,-2.94,0.42
3.380,0.022936,-0.008296,-0.976488,1.33,-2.87,0.42
3.400,0.021960,-0.010248,-0.976976,1.33,-2.80,0.42
3.420,0.023424,-0.007320,-0.977952,1.26,-3.01,0.28
3.440,0.021960,-0.008784,-0.976488,1.33,-2.94,0.28
3.460,0.024888,-0.010248,-0.975024,1.26,-2.87,0.35
3.480,0.022936,-0.009760,-0.976000,1.33,-2.87,0.42
3.500,0.022936,-0.008296,-0.979904,1.26,-2.94,0.42
3.520,0.021960,-0.008784,-0.978440,1.26,-2.87,0.28
3.540,0.021960,-0.010248,-0.975512,1.26,-2.94,0.28
3.560,0.023424,-0.010248,-0.974536,1.33,-2.94,0.42
3.580,0.024888,-0.009760,-0.975024,1.26,-2.87,0.49
3.600,0.023424,-0.010736,-0.975024,1.26,-2.94,0.35
3.620,0.023912,-0.008296,-0.975024,1.33,-2.87,0.42
3.640,0.022936,-0.009272,-0.975024,1.33,-2.94,0.35
3.660,0.023424,-0.008784,-0.974536,1.19,-3.01,0.35
3.680,0.022936,-0.006832,-0.974536,1.19,-3.08,0.28
3.700,0.023424,-0.006344,-0.974536,1.19,-2.94,0.35
3.720,0.023424,-0.008784,-0.975024,1.33,-2.87,0.35
3.740,0.022448,-0.009272,-0.976488,1.33,-3.01,0.35
3.760,0.023912,-0.010736,-0.974536,1.26,-2.87,0.42
3.780,0.022448,-0.008296,-0.976976,1.26,-3.01,0.42
3.800,0.022448,-0.008784,-0.977952,1.19,-2.94,0.35
3.820,0.023424,-0.010248,-0.976000,1.33,-2.94,0.42
3.840,0.022448,-0.010248,-0.977464,1.26,-2.94,0.42
3.860,0.023912,-0.009272,-0.976000,1.19,-2.94,0.35
3.880,0.024888,-0.007808,-0.976000,1.33,-2.94,0.28
3.900,0.023912,-0.007808,-0.976000,1.26,-2.94,0.35
3.920,0.025376,-0.009272,-0.978440,1.33,-2.94,0.35
3.940,0.022936,-0.009272,-0.976000,1.26,-2.94,0.42
3.960,0.022936,-0.009272,-0.975024,1.33,-2.94,0.42
3.980,0.020496,-0.010248,-0.976488,1.19,-2.94,0.42
4.000,0.020496,-0.007320,-0.976488,1.40,-2.87,0.35
4.020,0.025376,-0.009760,-0.976976,1.26,-2.87,0.35
4.040,0.024400,-0.011224,-0.976000,1.26,-2.94,0.42
4.060,0.021472,-0.009272,-0.975024,1.26,-2.94,0.35
4.080,0.021960,-0.007320,-0.976000,1.33,-2.94,0.35
4.100,0.022936,-0.008784,-0.977464,1.33,-2.87,0.42
4.120,0.023424,-0.009272,-0.976000,1.40,-2.94,0.42
4.140,0.024400,-0.008296,-0.975024,1.40,-2.94,0.42
4.160,0.021472,-0.010248,-0.976488,1.26,-2.94,0.35
4.180,0.023912,-0.009272,-0.976000,1.19,-2.94,0.35
4.200,0.021472,-0.010248,-0.976976,1.26,-2.80,0.49
4.220,0.023912,-0.012200,-0.976976,1.33,-2.94,0.28
4.240,0.023912,-0.009760,-0.976488,1.26,-2.94,0.28
4.260,0.022448,-0.008296,-0.977952,1.33,-2.80,0.35
4.280,0.024400,-0.009272,-0.975512,1.33,-2.94,0.42
4.300,0.021472,-0.008784,-0.977464,1.26,-2.87,0.35
4.320,0.022448,-0.009760,-0.976000,1.33,-2.87,0.28
4.340,0.024400,-0.010248,-0.976000,1.26,-2.94,0.49
4.360,0.022448,-0.010248,-0.975512,1.26,-2.87,0.35
4.380,0.021960,-0.012200,-0.974536,1.33,-2.94,0.49
4.400,0.023912,-0.009760,-0.974048,1.33,-2.87,0.49
4.420,0.022448,-0.010248,-0.976488,1.26,-2.87,0.35
4.440,0.022936,-0.008784,-0.975512,1.33,-2.94,0.42
4.460,0.022936,-0.010736,-0.975512,1.40,-2.94,0.42
4.480,0.021960,-0.011224,-0.975512,1.33,-2.87,0.35
